T,S,I,R
0.0,10000.0,1.0,0.0
0.1,10000.0,1.0,0.0
0.1114549470168627,10001.0,1.0,0.0
0.12289987307636492,10000.0,1.0,0.0
0.13016212757117418,9999.0,1.0,0.0
0.14794010712821642,10000.0,1.0,0.0
0.15920931091716553,10001.0,1.0,0.0
0.2036936712307355,10002.0,1.0,0.0
0.21071903937619135,10001.0,1.0,0.0
0.22011041180614177,10000.0,1.0,0.0
0.23530190678617982,9999.0,1.0,0.0
0.24530638188218035,10000.0,1.0,0.0
0.26612853322117686,10001.0,1.0,0.0
0.2706019395149534,10002.0,1.0,0.0
0.28685872268498674,10001.0,1.0,0.0
0.31173665921677096,10000.0,1.0,0.0
0.31795944987886765,10001.0,1.0,0.0
0.3554420535041991,10002.0,1.0,0.0
0.358466401644539,10003.0,1.0,0.0
0.36220394964459907,10002.0,1.0,0.0
0.36413848728325726,10003.0,1.0,0.0
0.3720520209070727,10004.0,1.0,0.0
0.3788973961943316,10003.0,1.0,0.0
0.38869818596495836,10004.0,1.0,0.0
0.4066172621810997,10005.0,1.0,0.0
0.41217286974458467,10006.0,1.0,0.0
0.4223471140909662,10007.0,1.0,0.0
0.4265850856614965,10008.0,1.0,0.0
0.43255657840547124,10009.0,1.0,0.0
0.43428964613766974,10010.0,1.0,0.0
0.46852763322659485,10009.0,1.0,0.0
0.47146109961551314,10010.0,1.0,0.0
0.4736041823127501,10009.0,1.0,0.0
0.47725241330992413,10010.0,1.0,0.0
0.4874030656867574,10011.0,1.0,0.0
0.48770789888436383,10010.0,1.0,0.0
0.5109515570451963,10011.0,1.0,0.0
0.5335969167694369,10012.0,1.0,0.0
0.5455749508326367,10011.0,1.0,0.0
0.5580635614815492,10012.0,1.0,0.0
0.5743968676786417,10011.0,1.0,0.0
0.5889894013303909,10012.0,1.0,0.0
0.5895367667452016,10011.0,1.0,0.0
0.6119588386011513,10010.0,1.0,0.0
0.6175658137974948,10009.0,1.0,0.0
0.6213393388526339,10010.0,1.0,0.0
0.6276357029636311,10011.0,1.0,0.0
0.6279863644816762,10012.0,1.0,0.0
0.6355212366415075,10013.0,1.0,0.0
0.6438274295852404,10014.0,1.0,0.0
0.6501583114311699,10013.0,1.0,0.0
0.6512375143187461,10012.0,1.0,0.0
0.6617128533532706,10011.0,1.0,0.0
0.6778895504007122,10010.0,1.0,0.0
0.6810093463395445,10009.0,1.0,0.0
0.6830498859893952,10010.0,1.0,0.0
0.6858757707247757,10011.0,1.0,0.0
0.702601013792478,10012.0,1.0,0.0
0.7089552603211826,10013.0,1.0,0.0
0.7098349828040282,10012.0,1.0,0.0
0.7160345991050998,10013.0,1.0,0.0
0.7210434094907142,10014.0,1.0,0.0
0.7367073371325917,10013.0,1.0,0.0
0.7370256256455617,10012.0,1.0,0.0
0.7376792575625348,10011.0,1.0,0.0
0.7536331269990633,10012.0,1.0,0.0
0.7541928640289436,10011.0,1.0,0.0
0.7980748216551405,10012.0,1.0,0.0
0.7994629457401619,10013.0,1.0,0.0
0.8068069299036131,10012.0,1.0,0.0
0.8074583565124488,10011.0,1.0,0.0
0.8075684968846295,10012.0,1.0,0.0
0.823832936451088,10011.0,1.0,0.0
0.8345721815166665,10012.0,1.0,0.0
0.8431010521027871,10011.0,1.0,0.0
0.8573667006641522,10010.0,1.0,0.0
0.8658304218707242,10011.0,1.0,0.0
0.8767285308699283,10010.0,1.0,0.0
0.8805673462265168,10009.0,1.0,0.0
0.907859132044121,10010.0,1.0,0.0
0.9317199646808699,10009.0,1.0,0.0
1.0313169165357117,10008.0,1.0,0.0
1.0412032708956507,10007.0,1.0,0.0
1.0538024385267448,10006.0,1.0,0.0
1.058039043425958,10005.0,1.0,0.0
1.0586849304620336,10006.0,1.0,0.0
1.061525921451201,10007.0,1.0,0.0
1.065285869222712,10006.0,1.0,0.0
1.0730028735787989,10005.0,1.0,0.0
1.0736820460642136,10004.0,1.0,0.0
1.0742348933129704,10005.0,1.0,0.0
1.082220026186808,10004.0,1.0,0.0
1.0842776776266267,10003.0,1.0,0.0
1.0847706839680817,10004.0,1.0,0.0
1.0980112766486017,10005.0,1.0,0.0
1.1197796672123563,10004.0,1.0,0.0
1.1334915533236969,10003.0,1.0,0.0
1.143312180038705,10004.0,1.0,0.0
1.1603529195127578,10003.0,1.0,0.0
1.1617953122725042,10004.0,1.0,0.0
1.170231182954301,10003.0,1.0,0.0
1.1734872414642352,10004.0,1.0,0.0
1.1878382287249138,10003.0,1.0,0.0
