T,S,I,R
0.0,10000.0,1.0,0.0
0.1,10000.0,1.0,0.0
0.13172344331499045,10001.0,1.0,0.0
0.13364474038308363,10000.0,1.0,0.0
0.14625657058282024,9999.0,1.0,0.0
0.15112438994432467,9998.0,1.0,0.0
0.16352694987984942,9999.0,1.0,0.0
0.17236356532314093,9998.0,1.0,0.0
0.18633081323558126,9999.0,1.0,0.0
0.19250160442583594,9998.0,1.0,0.0
0.20509009926998206,9997.0,1.0,0.0
0.232648793154272,9998.0,1.0,0.0
0.23591536447025824,9999.0,1.0,0.0
0.2368609688656286,10000.0,1.0,0.0
0.26457688551788844,9999.0,1.0,0.0
0.2681314103379394,10000.0,1.0,0.0
0.2889072028062949,9999.0,2.0,0.0
0.2954359837843697,9998.0,2.0,0.0
0.3054089338308709,9997.0,2.0,0.0
0.3294448979638469,9998.0,2.0,0.0
0.3394355616006206,9999.0,2.0,0.0
0.34253566086444664,9998.0,3.0,0.0
0.3543530919550983,9997.0,3.0,0.0
0.3615523447909564,9998.0,3.0,0.0
0.3639227511612231,9997.0,3.0,0.0
0.3682848742770433,9996.0,3.0,0.0
0.3802559220841382,9995.0,3.0,0.0
0.38286235351891734,9994.0,3.0,0.0
0.3917549003657087,9995.0,3.0,0.0
0.4075235058119334,9996.0,3.0,0.0
0.4135187256204171,9995.0,3.0,0.0
0.41500312089754837,9996.0,3.0,0.0
0.42297833725852174,9997.0,3.0,0.0
0.4407519044827219,9996.0,3.0,0.0
0.44450631457271766,9997.0,3.0,0.0
0.4562707608397587,9998.0,3.0,0.0
0.4579546692538062,9997.0,3.0,0.0
0.4607360839033284,9996.0,3.0,0.0
0.49990023872929495,9997.0,3.0,0.0
0.500386473310502,9998.0,3.0,0.0
0.500938128169257,9999.0,3.0,0.0
0.5139687201210966,9998.0,3.0,0.0
0.5172114817098736,9997.0,3.0,0.0
0.539791268696104,9998.0,3.0,0.0
0.5511105876926765,9999.0,3.0,0.0
0.5550879539644689,10000.0,3.0,0.0
0.564706468584172,9999.0,3.0,0.0
0.5775666283189469,9998.0,3.0,0.0
0.5828566525307228,9999.0,3.0,0.0
0.5983335148638156,10000.0,3.0,0.0
0.6078964604892324,9999.0,3.0,0.0
0.6313111240344107,9998.0,4.0,0.0
0.6512733755795413,9997.0,4.0,0.0
0.6597661476158754,9998.0,4.0,0.0
0.6721337146959495,9999.0,4.0,0.0
0.6785359215977776,9998.0,4.0,0.0
0.69070111126797,9999.0,4.0,0.0
0.6928314197473948,10000.0,4.0,0.0
0.70752267936409,9999.0,4.0,0.0
0.7197608358990649,10000.0,4.0,0.0
0.7310311927825698,10001.0,4.0,0.0
0.7359283543491271,10000.0,4.0,0.0
0.7366892030299218,10001.0,4.0,0.0
0.7437026470680514,10000.0,4.0,0.0
0.774361073097333,10001.0,4.0,0.0
0.8004287308408061,10002.0,4.0,0.0
0.8260600417709055,10001.0,4.0,0.0
0.8352772721816062,10002.0,4.0,0.0
0.8372088789211135,10001.0,4.0,0.0
0.8440953748146006,10000.0,5.0,0.0
0.8741138758317943,9999.0,5.0,0.0
0.8940143918299975,10000.0,5.0,0.0
0.9403516699819422,10001.0,5.0,0.0
0.9488372678010449,10002.0,5.0,0.0
0.950380082223168,10001.0,5.0,0.0
0.9552328226052855,10002.0,5.0,0.0
0.9579166292426696,10001.0,5.0,0.0
0.9596727137006046,10000.0,5.0,0.0
0.9626886726584846,10001.0,5.0,0.0
0.9809050045633014,10000.0,5.0,0.0
0.991395916426678,9999.0,5.0,0.0
1.001455676923135,9998.0,5.0,0.0
1.010524609186402,9997.0,5.0,0.0
1.0141975463322526,9996.0,5.0,0.0
1.0173051306220466,9995.0,5.0,0.0
1.0312683951367783,9996.0,5.0,0.0
1.0494348821090842,9997.0,5.0,0.0
1.0523961781429707,9998.0,5.0,0.0
1.059489272444021,9997.0,5.0,0.0
1.066071163987355,9996.0,5.0,0.0
1.0717667041973091,9997.0,5.0,0.0
1.0807099733497711,9998.0,5.0,0.0
1.1030769345903466,9999.0,5.0,0.0
1.128552948170202,9998.0,5.0,0.0
1.1340104577105128,9999.0,5.0,0.0
1.1721698016697204,9998.0,5.0,0.0
1.1766553240184494,9999.0,5.0,0.0
1.185196505982395,9998.0,5.0,0.0
1.1887278348346744,9999.0,5.0,0.0
1.2045039027622593,9998.0,5.0,0.0
1.2204021755570722,9997.0,5.0,0.0
1.2316264555235492,9998.0,5.0,0.0
1.2338999049147903,9999.0,5.0,0.0
