T,S,I,R
0.0,10000.0,1.0,0.0
0.1,10000.0,1.0,0.0
0.11018718153818585,10001.0,1.0,0.0
0.13016470106819952,10000.0,1.0,0.0
0.13534575017797665,9999.0,1.0,0.0
0.14041430048128778,9998.0,1.0,0.0
0.14849848998636844,9999.0,1.0,0.0
0.1652833673985922,9998.0,1.0,0.0
0.16903506147505795,9999.0,1.0,0.0
0.18269457400492925,9998.0,1.0,0.0
0.18661194855384952,9997.0,1.0,0.0
0.18669598357103967,9996.0,1.0,0.0
0.19549475357160367,9997.0,1.0,0.0
0.2002025108755465,9998.0,1.0,0.0
0.21878027889512353,9997.0,1.0,0.0
0.24679002034177713,9998.0,1.0,0.0
0.2659042307185087,9997.0,1.0,0.0
0.26928575615831807,9996.0,1.0,0.0
0.2994387181755952,9996.0,0.0,1.0
0.3141494342576246,9995.0,0.0,1.0
0.31507771977608967,9996.0,0.0,1.0
0.32919531011236974,9995.0,0.0,1.0
0.3590451750930791,9994.0,0.0,1.0
0.37017746605703933,9993.0,0.0,1.0
0.3710197810118205,9992.0,0.0,1.0
0.3739257094348984,9991.0,0.0,1.0
0.3740254337734865,9992.0,0.0,1.0
0.3752845456789779,9993.0,0.0,1.0
0.3841307611903037,9994.0,0.0,1.0
0.3882733751052104,9995.0,0.0,1.0
0.3932824606520589,9996.0,0.0,1.0
0.40476991409196506,9995.0,0.0,1.0
0.4051973148743252,9994.0,0.0,1.0
0.40845072971645535,9995.0,0.0,1.0
0.427748623087633,9996.0,0.0,1.0
0.443630671453388,9997.0,0.0,1.0
0.4627599214874024,9996.0,0.0,1.0
0.4873120791715254,9995.0,0.0,1.0
0.508400317203029,9994.0,0.0,1.0
0.5257172639752962,9993.0,0.0,1.0
0.5288095758951072,9992.0,0.0,1.0
0.5312127129381421,9991.0,0.0,1.0
0.544931383366813,9992.0,0.0,1.0
0.5599952651827913,9991.0,0.0,1.0
0.579551714545591,9992.0,0.0,1.0
0.585591032347252,9991.0,0.0,1.0
0.5904645684725934,9992.0,0.0,1.0
0.6074915886833243,9991.0,0.0,1.0
0.6104873694175255,9992.0,0.0,1.0
0.6691088438006574,9993.0,0.0,1.0
0.6693952475718907,9994.0,0.0,1.0
0.6712167690884093,9995.0,0.0,1.0
0.6719720942242463,9996.0,0.0,1.0
0.6780552738854417,9995.0,0.0,1.0
0.6966293333937954,9996.0,0.0,1.0
0.6994965066660938,9995.0,0.0,1.0
0.7149267251929674,9994.0,0.0,1.0
0.7194031929790773,9995.0,0.0,1.0
0.7211062007923861,9994.0,0.0,1.0
0.7797597680057997,9993.0,0.0,1.0
0.8032412253014173,9992.0,0.0,1.0
0.8062444374294521,9993.0,0.0,1.0
0.8112225279373937,9992.0,0.0,1.0
0.8130369679124849,9993.0,0.0,1.0
0.8134149389187394,9994.0,0.0,1.0
0.8163560826755494,9995.0,0.0,1.0
0.8550616247087018,9994.0,0.0,1.0
0.8619837282386783,9993.0,0.0,1.0
0.8695932663882574,9992.0,0.0,1.0
0.8923151626179247,9993.0,0.0,1.0
0.8970450510820346,9994.0,0.0,1.0
0.9114490287974788,9995.0,0.0,1.0
0.9884052527901629,9994.0,0.0,1.0
0.9972846199422576,9993.0,0.0,1.0
0.9992768700481443,9992.0,0.0,1.0
1.0036479054085539,9993.0,0.0,1.0
1.0047378556639077,9994.0,0.0,1.0
1.0232776680011066,9995.0,0.0,1.0
1.0422558373969033,9996.0,0.0,1.0
1.0440509949447312,9997.0,0.0,1.0
1.0636703432594732,9998.0,0.0,1.0
1.069454019475927,9997.0,0.0,1.0
1.083960847256606,9998.0,0.0,1.0
1.0862230969571072,9997.0,0.0,1.0
1.1076829513401205,9998.0,0.0,1.0
1.11199181661402,9999.0,0.0,1.0
1.1138300455301686,10000.0,0.0,1.0
1.1311994764248245,9999.0,0.0,1.0
1.1540555823180796,9998.0,0.0,1.0
1.1667116557963615,9999.0,0.0,1.0
1.1749695547084495,10000.0,0.0,1.0
1.1827946470445472,10001.0,0.0,1.0
1.200572810912487,10000.0,0.0,1.0
1.2183678321243598,9999.0,0.0,1.0
1.2737649731154304,9998.0,0.0,1.0
1.2884720603458757,9997.0,0.0,1.0
1.2887648686161928,9996.0,0.0,1.0
1.2952939790483362,9997.0,0.0,1.0
1.2979628615462457,9998.0,0.0,1.0
1.3207821560271442,9997.0,0.0,1.0
1.349614037059912,9996.0,0.0,1.0
1.3664714774221252,9995.0,0.0,1.0
1.3672824109522916,9996.0,0.0,1.0
