T,S,I,R
0.0,10000.0,1.0,0.0
0.1,10000.0,1.0,0.0
0.1107844083313552,10001.0,1.0,0.0
0.12762354678184254,10002.0,1.0,0.0
0.14647801894995255,10003.0,1.0,0.0
0.14655849562518367,10004.0,1.0,0.0
0.1473497186246548,10005.0,1.0,0.0
0.1473641692051893,10006.0,1.0,0.0
0.15710529092727674,10005.0,1.0,0.0
0.1800958937593952,10004.0,1.0,0.0
0.180869963184991,10003.0,1.0,0.0
0.18847719402921978,10002.0,1.0,0.0
0.22150687062163749,10001.0,1.0,0.0
0.23119121611303042,10000.0,1.0,0.0
0.23555914664539654,9999.0,1.0,0.0
0.2380149280500864,10000.0,1.0,0.0
0.23835022333702952,10000.0,0.0,1.0
0.24799714971568798,9999.0,0.0,1.0
0.2610185911705014,10000.0,0.0,1.0
0.280258989640001,10001.0,0.0,1.0
0.2897487055421773,10002.0,0.0,1.0
0.307384089428454,10003.0,0.0,1.0
0.3219127971566257,10002.0,0.0,1.0
0.3388276971281366,10003.0,0.0,1.0
0.34626530107272807,10002.0,0.0,1.0
0.35430858181064667,10001.0,0.0,1.0
0.36519308910258774,10002.0,0.0,1.0
0.36917552916401725,10003.0,0.0,1.0
0.3765194819220945,10002.0,0.0,1.0
0.3849886759276641,10001.0,0.0,1.0
0.4138293117419898,10000.0,0.0,1.0
0.41450289093346465,10001.0,0.0,1.0
0.43061425516135066,10000.0,0.0,1.0
0.43889749473599693,10001.0,0.0,1.0
0.4411933947080911,10002.0,0.0,1.0
0.4630131686562409,10003.0,0.0,1.0
0.47181939744028367,10004.0,0.0,1.0
0.4791259780297376,10003.0,0.0,1.0
0.4931881728622281,10004.0,0.0,1.0
0.5005198886677582,10005.0,0.0,1.0
0.5185382488833915,10004.0,0.0,1.0
0.5244954109413836,10005.0,0.0,1.0
0.5266781070301857,10004.0,0.0,1.0
0.5338846663582391,10005.0,0.0,1.0
0.5364411957352084,10006.0,0.0,1.0
0.538367620691607,10007.0,0.0,1.0
0.5384367726223169,10008.0,0.0,1.0
0.5456234954996325,10007.0,0.0,1.0
0.5470531000751765,10008.0,0.0,1.0
0.5496710668279136,10009.0,0.0,1.0
0.552084318031076,10010.0,0.0,1.0
0.5678181326874534,10011.0,0.0,1.0
0.6178138676131596,10012.0,0.0,1.0
0.6671358253801019,10013.0,0.0,1.0
0.6716536909327067,10014.0,0.0,1.0
0.6840635417699247,10015.0,0.0,1.0
0.6889664706152987,10014.0,0.0,1.0
0.7321391976562958,10015.0,0.0,1.0
0.7383438323398669,10014.0,0.0,1.0
0.739837490280559,10015.0,0.0,1.0
0.742841698533405,10014.0,0.0,1.0
0.7492094324424218,10015.0,0.0,1.0
0.7603312388741238,10014.0,0.0,1.0
0.7908708333912575,10013.0,0.0,1.0
0.8108791126253279,10012.0,0.0,1.0
0.8180072053659085,10011.0,0.0,1.0
0.8198663589101144,10010.0,0.0,1.0
0.8254406072203714,10009.0,0.0,1.0
0.8355744423646332,10010.0,0.0,1.0
0.8360769150227744,10011.0,0.0,1.0
0.861189770113767,10012.0,0.0,1.0
0.8615334323900613,10013.0,0.0,1.0
0.8648340248572939,10014.0,0.0,1.0
0.8691566954469485,10015.0,0.0,1.0
0.8834112686380681,10014.0,0.0,1.0
0.8935631917620028,10013.0,0.0,1.0
0.8976161713141273,10014.0,0.0,1.0
0.9014074398351462,10015.0,0.0,1.0
0.9020493412166366,10014.0,0.0,1.0
0.9110883165819655,10015.0,0.0,1.0
0.9148689282885265,10016.0,0.0,1.0
0.9190221696693522,10017.0,0.0,1.0
0.9223081513744471,10016.0,0.0,1.0
0.927753274942233,10017.0,0.0,1.0
0.9282576800219703,10016.0,0.0,1.0
0.9286844765771024,10017.0,0.0,1.0
0.9372878211466211,10018.0,0.0,1.0
0.9485877364771479,10019.0,0.0,1.0
0.972889832177025,10018.0,0.0,1.0
0.9764081617857835,10019.0,0.0,1.0
0.9976579272012801,10020.0,0.0,1.0
1.0068453146550582,10019.0,0.0,1.0
1.0094522416061271,10020.0,0.0,1.0
1.0106715327693268,10021.0,0.0,1.0
1.03770340409164,10020.0,0.0,1.0
1.0393483014970966,10021.0,0.0,1.0
1.0683850982882266,10022.0,0.0,1.0
1.0793987136117327,10021.0,0.0,1.0
1.0819770867133396,10020.0,0.0,1.0
1.084461218419591,10019.0,0.0,1.0
1.1008778813113187,10018.0,0.0,1.0
1.102849895906781,10019.0,0.0,1.0
1.1084039220458983,10018.0,0.0,1.0
