T,S,I,R
0.0,10000.0,1.0,0.0
0.1,10000.0,1.0,0.0
0.10036408969246588,9999.0,1.0,0.0
0.1131794616455599,9998.0,1.0,0.0
0.11746114873127761,9999.0,1.0,0.0
0.12481169528864909,10000.0,1.0,0.0
0.12550299864060113,10001.0,1.0,0.0
0.1340073261245567,10000.0,1.0,0.0
0.15347837123052033,9999.0,1.0,0.0
0.1541808016723749,10000.0,1.0,0.0
0.15944514716389932,9999.0,1.0,0.0
0.17332717107621215,9998.0,1.0,0.0
0.2096443913134043,9999.0,1.0,0.0
0.221392810347888,10000.0,1.0,0.0
0.22682059586109832,10001.0,1.0,0.0
0.2276257492741563,10002.0,1.0,0.0
0.23113555939030647,10003.0,1.0,0.0
0.23255941748837924,10004.0,1.0,0.0
0.23912507580760556,10003.0,1.0,0.0
0.2483225941329459,10004.0,1.0,0.0
0.2511115897498331,10003.0,1.0,0.0
0.2596614413357826,10002.0,1.0,0.0
0.26143236955916216,10001.0,1.0,0.0
0.26568068291734354,10000.0,1.0,0.0
0.2696225419413202,9999.0,1.0,0.0
0.27572778898634526,9998.0,1.0,0.0
0.3201735820359444,9999.0,1.0,0.0
0.32202589301480294,10000.0,1.0,0.0
0.3388391921437428,9999.0,1.0,0.0
0.34771095518026857,9998.0,1.0,0.0
0.35357812933256283,9997.0,1.0,0.0
0.35710120281583213,9998.0,1.0,0.0
0.3580050500745739,9999.0,1.0,0.0
0.399317466404507,9998.0,1.0,0.0
0.40409167531210133,9997.0,1.0,0.0
0.40713705251055887,9996.0,1.0,0.0
0.4215332457108127,9995.0,1.0,0.0
0.42173333947199804,9994.0,1.0,0.0
0.42174136797588424,9993.0,2.0,0.0
0.42625154110837227,9994.0,2.0,0.0
0.42945118283561606,9993.0,2.0,0.0
0.469963922483818,9994.0,2.0,0.0
0.470724044510602,9993.0,2.0,0.0
0.4859097704242798,9994.0,2.0,0.0
0.4927040920304166,9995.0,2.0,0.0
0.4932707590922345,9996.0,2.0,0.0
0.4975886525730203,9997.0,2.0,0.0
0.5163756250094319,9996.0,2.0,0.0
0.5234570033397502,9995.0,2.0,0.0
0.5261884227798954,9996.0,2.0,0.0
0.5277518676744514,9997.0,2.0,0.0
0.535811725464122,9998.0,2.0,0.0
0.5358689592152008,9997.0,2.0,0.0
0.5369081484720969,9996.0,2.0,0.0
0.5408780788124484,9995.0,2.0,0.0
0.5544553195571172,9996.0,2.0,0.0
0.5545760533417701,9997.0,2.0,0.0
0.5832499844209152,9998.0,2.0,0.0
0.5920337738195605,9999.0,2.0,0.0
0.5936789788727681,10000.0,2.0,0.0
0.6202480273005152,10001.0,2.0,0.0
0.6368077076636873,10002.0,2.0,0.0
0.6737967788959935,10003.0,2.0,0.0
0.6747882435446975,10004.0,2.0,0.0
0.6785577507988305,10005.0,2.0,0.0
0.6809686637425251,10004.0,2.0,0.0
0.68844300020577,10003.0,2.0,0.0
0.700176977644029,10002.0,2.0,0.0
0.7009126955734483,10001.0,2.0,0.0
0.731512670803155,10000.0,2.0,0.0
0.7486517416913832,10001.0,2.0,0.0
0.7563977831672807,10002.0,2.0,0.0
0.7620545038391711,10003.0,2.0,0.0
0.7677279337262055,10002.0,2.0,0.0
0.780540980507351,10003.0,2.0,0.0
0.7849680421290682,10004.0,2.0,0.0
0.7946287148844942,10003.0,2.0,0.0
0.8083618451123618,10004.0,2.0,0.0
0.8102231322971716,10005.0,2.0,0.0
0.8251278560060968,10004.0,2.0,0.0
0.8395794878625301,10005.0,2.0,0.0
0.839624511276361,10004.0,2.0,0.0
0.8439280757559044,10005.0,2.0,0.0
0.8483119197680359,10004.0,2.0,0.0
0.8483626149670552,10003.0,2.0,0.0
0.8826886219565963,10002.0,2.0,0.0
0.8880686703496593,10001.0,2.0,0.0
0.8942479095980377,10000.0,2.0,0.0
0.9003156584637235,9999.0,2.0,0.0
0.9028805579533172,9998.0,2.0,0.0
0.9339412374086,9997.0,2.0,0.0
0.935688835935978,9996.0,2.0,0.0
0.9411629303698011,9997.0,2.0,0.0
0.9527615874778392,9996.0,2.0,0.0
0.9890717171353044,9995.0,2.0,0.0
1.0140742895502066,9994.0,2.0,0.0
1.0181575165385721,9993.0,2.0,0.0
1.0232736701525105,9994.0,2.0,0.0
1.0234835214037854,9993.0,2.0,0.0
1.0404847162432191,9994.0,2.0,0.0
1.0463687997629336,9993.0,2.0,0.0
1.0487168201165573,9992.0,2.0,0.0
1.0487403078996216,9991.0,2.0,0.0
