T,S,I,R
0.0,10000.0,1.0,0.0
0.1,10000.0,1.0,0.0
0.1015089984886134,10001.0,1.0,0.0
0.10291825572913398,10000.0,1.0,0.0
0.10317187426225645,10001.0,1.0,0.0
0.11494264277230917,10000.0,1.0,0.0
0.11651826693175092,9999.0,1.0,0.0
0.11872004481241466,9998.0,1.0,0.0
0.11976602922781837,9997.0,1.0,0.0
0.12087610091589156,9996.0,1.0,0.0
0.12201807943595812,9995.0,1.0,0.0
0.12621875994536969,9994.0,1.0,0.0
0.129631660617913,9995.0,1.0,0.0
0.13224643944110884,9994.0,1.0,0.0
0.13855438859030597,9995.0,1.0,0.0
0.13978163936273683,9994.0,1.0,0.0
0.1408771025178879,9993.0,1.0,0.0
0.14258421319549583,9994.0,1.0,0.0
0.1446270661683124,9995.0,1.0,0.0
0.1466942160005557,9996.0,1.0,0.0
0.14883075513453137,9997.0,1.0,0.0
0.148986944152276,9998.0,1.0,0.0
0.149500966642232,9999.0,1.0,0.0
0.14974848285137957,10000.0,1.0,0.0
0.15427139021586997,9999.0,1.0,0.0
0.16191319082074856,9998.0,1.0,0.0
0.1649697450348167,9997.0,1.0,0.0
0.16532337278960882,9998.0,1.0,0.0
0.16607424209247518,9999.0,1.0,0.0
0.17351258839616793,10000.0,1.0,0.0
0.17352498770054034,9999.0,1.0,0.0
0.17967429343661231,9998.0,1.0,0.0
0.18088739325316164,9999.0,1.0,0.0
0.182356785339123,9998.0,1.0,0.0
0.18274122328982204,9997.0,1.0,0.0
0.18298534902070682,9998.0,1.0,0.0
0.18323163340629106,9997.0,1.0,0.0
0.1846074864269199,9996.0,1.0,0.0
0.1858649204582695,9997.0,1.0,0.0
0.19134542663195675,9998.0,1.0,0.0
0.20018024793771488,9997.0,1.0,0.0
0.201894983357585,9996.0,1.0,0.0
0.20513960997289876,9997.0,1.0,0.0
0.20690901119944596,9996.0,1.0,0.0
0.20697717328027596,9997.0,1.0,0.0
0.20984593821967817,9996.0,1.0,0.0
0.20990750671061523,9997.0,1.0,0.0
0.2110537472611931,9996.0,1.0,0.0
0.21134827578686285,9997.0,1.0,0.0
0.21189733933061786,9998.0,1.0,0.0
0.2130565498300216,9997.0,1.0,0.0
0.2131128262858947,9996.0,1.0,0.0
0.21624020866235386,9995.0,1.0,0.0
0.21825432835594283,9996.0,1.0,0.0
0.21935851588171723,9997.0,1.0,0.0
0.22349703780071398,9998.0,1.0,0.0
0.23427460537404535,9999.0,1.0,0.0
0.23623857287761355,9998.0,1.0,0.0
0.24078604924555924,9997.0,1.0,0.0
0.24849472402598602,9996.0,1.0,0.0
0.2552050302262307,9995.0,1.0,0.0
0.25549820845863447,9996.0,1.0,0.0
0.26036907455240954,9995.0,1.0,0.0
0.265078805270616,9994.0,1.0,0.0
0.2667257542861344,9993.0,1.0,0.0
0.2690748216358024,9994.0,1.0,0.0
0.2705261829827862,9993.0,1.0,0.0
0.2782769055194121,9992.0,1.0,0.0
0.27917788141477845,9991.0,1.0,0.0
0.2920631129823123,9992.0,1.0,0.0
0.29333042326902925,9991.0,1.0,0.0
0.3020765812591998,9992.0,1.0,0.0
0.30396644028992514,9991.0,1.0,0.0
0.3068316746783234,9990.0,1.0,0.0
0.30721272785901915,9991.0,1.0,0.0
0.31713881134977884,9992.0,1.0,0.0
0.3174493075198582,9993.0,1.0,0.0
0.3197441342271465,9992.0,1.0,0.0
0.32001791257882956,9991.0,1.0,0.0
0.3207469066528513,9990.0,1.0,0.0
0.3213753911752464,9991.0,1.0,0.0
0.3218720700078785,9990.0,1.0,0.0
0.32301753994825394,9991.0,1.0,0.0
0.32538333936064384,9992.0,1.0,0.0
0.326660074441745,9991.0,1.0,0.0
0.32808580984321906,9990.0,1.0,0.0
0.32983781598221285,9989.0,1.0,0.0
0.3313603929210382,9990.0,1.0,0.0
0.3345607204259101,9991.0,1.0,0.0
0.33488448829666667,9992.0,1.0,0.0
0.33763981034891366,9991.0,1.0,0.0
0.3383758901867934,9992.0,1.0,0.0
0.3446766554540211,9991.0,1.0,0.0
0.3477945665108289,9990.0,1.0,0.0
0.35588069880432927,9991.0,1.0,0.0
0.3614704631990419,9990.0,1.0,0.0
0.3656356153178381,9989.0,1.0,0.0
0.3663140887959239,9990.0,1.0,0.0
0.36958088703751624,9991.0,1.0,0.0
0.37332558366227653,9990.0,1.0,0.0
0.3758206174086801,9991.0,1.0,0.0
0.37680401823506965,9990.0,1.0,0.0
0.3826824025045627,9991.0,1.0,0.0
