T,S,I,R
0.0,10000.0,1.0,0.0
0.1,10000.0,1.0,0.0
0.1005797462426964,10001.0,1.0,0.0
0.10122561487570723,10002.0,1.0,0.0
0.10702308765463207,10001.0,1.0,0.0
0.11214628510185622,10002.0,1.0,0.0
0.11325296540042204,10001.0,1.0,0.0
0.11749434726669297,10002.0,1.0,0.0
0.12048500750002526,10003.0,1.0,0.0
0.13624611649849763,10002.0,1.0,0.0
0.13940275289663462,10001.0,1.0,0.0
0.14433055136750989,10000.0,1.0,0.0
0.14678395431505065,10001.0,1.0,0.0
0.1473941162354868,10000.0,1.0,0.0
0.14849144389414592,9999.0,1.0,0.0
0.14930619447862709,10000.0,1.0,0.0
0.14968169243090754,10001.0,1.0,0.0
0.15673714215396012,10002.0,1.0,0.0
0.16906019773328892,10001.0,1.0,0.0
0.1706562434283836,10000.0,1.0,0.0
0.17079097983190467,9999.0,1.0,0.0
0.17312519474676843,9998.0,1.0,0.0
0.1736311249625832,9999.0,1.0,0.0
0.17466789766175175,9998.0,1.0,0.0
0.17543183251170014,9997.0,1.0,0.0
0.17565181807593733,9998.0,1.0,0.0
0.17933764800104657,9999.0,1.0,0.0
0.19083277493476683,9998.0,1.0,0.0
0.19117147056635692,9999.0,1.0,0.0
0.19802980110380952,9998.0,1.0,0.0
0.19871467315877137,9999.0,1.0,0.0
0.1999936972904556,10000.0,1.0,0.0
0.20401984184687258,9999.0,1.0,0.0
0.207800036683674,9998.0,1.0,0.0
0.20851414033600824,9997.0,1.0,0.0
0.2119227975105197,9998.0,1.0,0.0
0.21429156762381868,9997.0,1.0,0.0
0.21566014753771615,9996.0,1.0,0.0
0.2232954443577455,9997.0,1.0,0.0
0.22585351777344442,9998.0,1.0,0.0
0.22669182727269327,9999.0,1.0,0.0
0.2271834547875171,9998.0,1.0,0.0
0.23228203104674278,9997.0,1.0,0.0
0.23433038504811254,9996.0,1.0,0.0
0.23707758514557964,9995.0,1.0,0.0
0.23722471744459053,9994.0,1.0,0.0
0.24812375251101323,9993.0,1.0,0.0
0.25142372834042953,9994.0,1.0,0.0
0.25457831104760376,9993.0,1.0,0.0
0.2565963095399997,9992.0,1.0,0.0
0.25878028044504403,9993.0,1.0,0.0
0.2657835168811134,9992.0,1.0,0.0
0.26614372978500866,9993.0,1.0,0.0
0.2692194554885129,9992.0,1.0,0.0
0.2706447183450845,9993.0,1.0,0.0
0.2755976496242277,9992.0,1.0,0.0
0.27828633372206846,9991.0,1.0,0.0
0.27903714765124865,9990.0,1.0,0.0
0.2811532166351511,9991.0,1.0,0.0
0.28165416956422074,9990.0,1.0,0.0
0.2876237335901295,9991.0,1.0,0.0
0.28767447019575215,9990.0,1.0,0.0
0.293687891463314,9989.0,1.0,0.0
0.2982253913568525,9990.0,1.0,0.0
0.3037189174942365,9991.0,1.0,0.0
0.3064098831186304,9990.0,1.0,0.0
0.30955486495745527,9989.0,1.0,0.0
0.310740382105659,9988.0,1.0,0.0
0.31226039671672484,9989.0,1.0,0.0
0.3135117977721476,9990.0,1.0,0.0
0.3176971393299906,9991.0,1.0,0.0
0.3231319973255172,9992.0,1.0,0.0
0.3233733464619245,9993.0,1.0,0.0
0.3328461191329599,9994.0,1.0,0.0
0.33850910099180026,9993.0,1.0,0.0
0.34052016952771624,9992.0,1.0,0.0
0.34139393396880985,9991.0,1.0,0.0
0.34213431128824673,9990.0,1.0,0.0
0.3470152116468829,9991.0,1.0,0.0
0.3478030174180763,9990.0,1.0,0.0
0.3489214868954961,9989.0,1.0,0.0
0.3549808133195853,9990.0,1.0,0.0
0.35734540226022454,9989.0,1.0,0.0
0.3601411321252996,9990.0,1.0,0.0
0.3625474544043239,9989.0,1.0,0.0
0.36419415034380004,9988.0,1.0,0.0
0.3720910589842128,9987.0,1.0,0.0
0.3725077001994224,9988.0,1.0,0.0
0.3730750490808331,9989.0,1.0,0.0
0.37605855550507106,9990.0,1.0,0.0
0.37758045756062325,9989.0,1.0,0.0
0.3783106538177086,9988.0,1.0,0.0
0.3805055654782309,9987.0,1.0,0.0
0.3988616076941254,9986.0,1.0,0.0
0.40071240191780416,9987.0,1.0,0.0
0.40113002198578634,9986.0,1.0,0.0
0.40207965081179664,9987.0,1.0,0.0
0.40306239927172044,9986.0,1.0,0.0
0.40408314815795265,9987.0,1.0,0.0
0.4083379202051662,9986.0,1.0,0.0
0.4120923611751466,9987.0,1.0,0.0
0.4130691948508041,9988.0,1.0,0.0
