T,S,I,R
0.0,10000.0,1.0,0.0
0.1,10000.0,1.0,0.0
0.13100517073433512,9999.0,1.0,0.0
0.15508846263158824,9998.0,1.0,0.0
0.15958050206797836,9999.0,1.0,0.0
0.15967933284449268,9998.0,1.0,0.0
0.16130409272378984,9999.0,1.0,0.0
0.161731247163472,10000.0,1.0,0.0
0.16569334468361802,10001.0,1.0,0.0
0.16860402776462982,10000.0,1.0,0.0
0.1837648222029598,9999.0,1.0,0.0
0.18736369310860465,10000.0,1.0,0.0
0.20162731475946014,9999.0,1.0,0.0
0.22009056132500437,9998.0,1.0,0.0
0.23733636772615543,9997.0,1.0,0.0
0.23841777853481677,9998.0,1.0,0.0
0.2456849994504697,9997.0,1.0,0.0
0.2466997384969268,9996.0,1.0,0.0
0.24734388944182842,9995.0,1.0,0.0
0.27295110161779274,9994.0,1.0,0.0
0.27372710945839457,9995.0,1.0,0.0
0.2901392065301306,9996.0,1.0,0.0
0.2917348285710421,9997.0,1.0,0.0
0.3050748100706787,9996.0,1.0,0.0
0.3075711492998478,9997.0,1.0,0.0
0.3093281454328285,9996.0,1.0,0.0
0.31876659323051465,9995.0,1.0,0.0
0.34327958781832474,9994.0,1.0,0.0
0.3629281854260966,9993.0,1.0,0.0
0.3647204126254076,9994.0,1.0,0.0
0.36479745987780987,9993.0,1.0,0.0
0.3663783146586278,9992.0,1.0,0.0
0.36791050421652927,9993.0,1.0,0.0
0.3875197424358617,9992.0,1.0,0.0
0.3926664527928485,9991.0,1.0,0.0
0.3976632527097794,9992.0,1.0,0.0
0.40076231755578223,9993.0,1.0,0.0
0.4047743661490018,9992.0,1.0,0.0
0.4100121995238276,9991.0,1.0,0.0
0.4404780378810146,9990.0,1.0,0.0
0.4410020325848479,9989.0,1.0,0.0
0.4475361032164687,9990.0,1.0,0.0
0.47032458595868787,9989.0,1.0,0.0
0.4901365966263269,9988.0,1.0,0.0
0.5061702291054465,9987.0,2.0,0.0
0.5226026659224215,9986.0,2.0,0.0
0.5249559121445276,9987.0,2.0,0.0
0.5274719708200787,9988.0,2.0,0.0
0.5274886192596165,9987.0,2.0,0.0
0.536623560525498,9988.0,2.0,0.0
0.5410968756616642,9989.0,2.0,0.0
0.5425518606082291,9988.0,2.0,0.0
0.5710354776491786,9987.0,2.0,0.0
0.5802490907641361,9988.0,2.0,0.0
0.5807496760606693,9987.0,2.0,0.0
0.5926133812521452,9986.0,2.0,0.0
0.5975854894309973,9987.0,2.0,0.0
0.6001163708185221,9986.0,2.0,0.0
0.6008598604693366,9986.0,1.0,1.0
0.6191907160859996,9987.0,1.0,1.0
0.6487622933544133,9988.0,1.0,1.0
0.6570382117926968,9989.0,1.0,1.0
0.6623306618329969,9990.0,1.0,1.0
0.6759886640177855,9989.0,1.0,1.0
0.680582611078061,9990.0,1.0,1.0
0.6816626937110197,9991.0,1.0,1.0
0.6870990839379869,9990.0,1.0,1.0
0.6882456420145161,9991.0,1.0,1.0
0.6935395804241753,9990.0,1.0,1.0
0.6938665689321529,9989.0,1.0,1.0
0.6945276439969726,9990.0,1.0,1.0
0.7189955686658638,9991.0,1.0,1.0
0.7251578278429709,9990.0,1.0,1.0
0.7311609370673723,9991.0,1.0,1.0
0.7660091008129265,9990.0,1.0,1.0
0.7696130059778852,9989.0,1.0,1.0
0.7698479638435316,9988.0,1.0,1.0
0.7730101419106407,9989.0,1.0,1.0
0.773750321905455,9990.0,1.0,1.0
0.7744112573129164,9991.0,1.0,1.0
0.783052755275418,9992.0,1.0,1.0
0.7925294255386506,9991.0,1.0,1.0
0.796849170536195,9990.0,1.0,1.0
0.8030757751018089,9991.0,1.0,1.0
0.8090449431554468,9990.0,1.0,1.0
0.8164574477346376,9991.0,1.0,1.0
0.8186657264995526,9990.0,1.0,1.0
0.8210170876117805,9989.0,1.0,1.0
0.8341768349354055,9988.0,1.0,1.0
0.8343742512113196,9989.0,1.0,1.0
0.8391813567772421,9990.0,1.0,1.0
0.8404899700651005,9991.0,1.0,1.0
0.8526338919229929,9990.0,1.0,1.0
0.8972843879646155,9989.0,1.0,1.0
0.9047786423541275,9988.0,1.0,1.0
0.9127026944890535,9989.0,1.0,1.0
0.9231752111304026,9990.0,1.0,1.0
0.9238694441687774,9989.0,1.0,1.0
0.9270268442665741,9988.0,1.0,1.0
0.9448419459676334,9989.0,1.0,1.0
0.9456116028197923,9990.0,1.0,1.0
0.95156296897422,9991.0,1.0,1.0
0.9535263556974053,9990.0,1.0,1.0
