T,S,I,R
0.0,10000.0,1.0,0.0
0.1,10000.0,1.0,0.0
0.10269056612461908,10001.0,1.0,0.0
0.10869715064656121,10000.0,1.0,0.0
0.11985429279019551,10001.0,1.0,0.0
0.15878802458130353,10002.0,1.0,0.0
0.16091974536741901,10001.0,1.0,0.0
0.16583104334756613,10002.0,1.0,0.0
0.17874009706418487,10001.0,1.0,0.0
0.18206511806189135,10002.0,1.0,0.0
0.1942805090560161,10001.0,1.0,0.0
0.20266284316539515,10000.0,1.0,0.0
0.23815862196265447,9999.0,1.0,0.0
0.23980738191142745,10000.0,1.0,0.0
0.28630346113523586,10001.0,1.0,0.0
0.30258406895235074,10000.0,1.0,0.0
0.3082472979929348,10001.0,1.0,0.0
0.32179801548505216,10000.0,1.0,0.0
0.3542154950260523,10001.0,1.0,0.0
0.373094288026045,10000.0,1.0,0.0
0.3877347541973844,9999.0,1.0,0.0
0.38970451197473127,10000.0,1.0,0.0
0.39304501571375144,9999.0,1.0,0.0
0.3961866212076315,9998.0,1.0,0.0
0.41543053015151715,9997.0,1.0,0.0
0.4197180921677787,9998.0,1.0,0.0
0.42191191899714003,9997.0,1.0,0.0
0.42365395422261265,9996.0,1.0,0.0
0.44099804520676683,9995.0,1.0,0.0
0.4412977377465896,9994.0,1.0,0.0
0.4551403392047093,9993.0,1.0,0.0
0.463973649504368,9992.0,1.0,0.0
0.46709377205870617,9991.0,1.0,0.0
0.47511588030283397,9992.0,1.0,0.0
0.48996733103274637,9991.0,1.0,0.0
0.49776943740575247,9990.0,1.0,0.0
0.4981466188357584,9989.0,1.0,0.0
0.5026293333562842,9988.0,1.0,0.0
0.5155491632870756,9987.0,1.0,0.0
0.5275375745591145,9986.0,1.0,0.0
0.5437454155609291,9985.0,1.0,0.0
0.5521470008933441,9986.0,1.0,0.0
0.5602080269712648,9987.0,1.0,0.0
0.5675707639758854,9986.0,1.0,0.0
0.5765638166273664,9987.0,1.0,0.0
0.5785224747033402,9988.0,1.0,0.0
0.5802875477735381,9989.0,1.0,0.0
0.5962282568364373,9990.0,1.0,0.0
0.6070901078354719,9991.0,1.0,0.0
0.6233401372617923,9990.0,1.0,0.0
0.6408012191411313,9991.0,1.0,0.0
0.6720061960190409,9990.0,1.0,0.0
0.6935795984736067,9989.0,1.0,0.0
0.6974500216144351,9990.0,1.0,0.0
0.6974756586228796,9989.0,1.0,0.0
0.7019602691716628,9988.0,1.0,0.0
0.7326580364589536,9987.0,1.0,0.0
0.7401056855218696,9986.0,1.0,0.0
0.7698394228312765,9987.0,1.0,0.0
0.7739833737486301,9988.0,1.0,0.0
0.7965134308362763,9989.0,1.0,0.0
0.8052663009815105,9990.0,1.0,0.0
0.806215017652777,9989.0,2.0,0.0
0.8374514187507744,9990.0,2.0,0.0
0.8673023399907059,9991.0,2.0,0.0
0.8690373631094817,9992.0,2.0,0.0
0.8865597742732507,9991.0,2.0,0.0
0.8912229915056538,9992.0,2.0,0.0
0.9047665092790714,9993.0,2.0,0.0
0.9157998174289701,9992.0,2.0,0.0
0.9265706145650612,9991.0,2.0,0.0
0.929474832030767,9990.0,2.0,0.0
0.9308085861394536,9989.0,2.0,0.0
0.9359223643302004,9988.0,2.0,0.0
0.941164842128642,9989.0,2.0,0.0
0.9520705930853381,9990.0,2.0,0.0
0.9555144276454655,9991.0,2.0,0.0
0.9682827569099621,9992.0,2.0,0.0
0.9776302865591129,9993.0,2.0,0.0
0.9843693224424666,9994.0,2.0,0.0
0.986384005835816,9995.0,2.0,0.0
0.99003090815247,9996.0,2.0,0.0
0.9932212038346987,9997.0,2.0,0.0
1.023424760651341,9998.0,2.0,0.0
1.025888078064294,9997.0,2.0,0.0
1.0405707451242832,9998.0,2.0,0.0
1.0788733201634606,9997.0,2.0,0.0
1.0861987481238355,9998.0,2.0,0.0
1.103726333868547,9997.0,2.0,0.0
1.103872100424718,9998.0,2.0,0.0
1.1096623096165774,9999.0,2.0,0.0
1.1187050244007972,9998.0,2.0,0.0
1.1404260540609765,9997.0,2.0,0.0
1.1635000426218878,9998.0,2.0,0.0
1.1805993896955982,9997.0,2.0,0.0
1.189888063110752,9996.0,2.0,0.0
1.2236019790781576,9995.0,2.0,0.0
1.2346541442661698,9996.0,2.0,0.0
1.2349671193795968,9997.0,2.0,0.0
1.2556503010894722,9996.0,2.0,0.0
1.2589620837065971,9997.0,2.0,0.0
1.3134065009984282,9998.0,2.0,0.0
1.3342206246624513,9997.0,2.0,0.0
